time,position
0,4.2157e+07
0.1,4.2157e+07
0.2,4.2157e+07
0.3,4.2157e+07
0.4,4.2157e+07
0.5,4.2157e+07
0.6,4.2157e+07
0.7,4.2157e+07
0.8,4.2157e+07
0.9,4.2157e+07
1,4.2157e+07
1.1,4.2157e+07
1.2,4.2157e+07
1.3,4.2157e+07
1.4,4.2157e+07
1.5,4.2157e+07
1.6,4.2157e+07
1.7,4.2157e+07
1.8,4.2157e+07
1.9,4.2157e+07
2,4.2157e+07
2.1,4.2157e+07
2.2,4.2157e+07
2.3,4.2157e+07
2.4,4.2157e+07
2.5,4.2157e+07
2.6,4.2157e+07
2.7,4.2157e+07
2.8,4.2157e+07
2.9,4.2157e+07
3,4.2157e+07
3.1,4.2157e+07
3.2,4.2157e+07
3.3,4.2157e+07
3.4,4.2157e+07
3.5,4.2157e+07
3.6,4.2157e+07
3.7,4.2157e+07
3.8,4.2157e+07
3.9,4.2157e+07
4,4.2157e+07
4.1,4.2157e+07
4.2,4.2157e+07
4.3,4.2157e+07
4.4,4.2157e+07
4.5,4.2157e+07
4.6,4.2157e+07
4.7,4.2157e+07
4.8,4.2157e+07
4.9,4.2157e+07
5,4.2157e+07
5.1,4.2157e+07
5.2,4.2157e+07
5.3,4.2157e+07
5.4,4.2157e+07
5.5,4.2157e+07
5.6,4.2157e+07
5.7,4.2157e+07
5.8,4.2157e+07
5.9,4.2157e+07
6,4.2157e+07
6.1,4.2157e+07
6.2,4.2157e+07
6.3,4.2157e+07
6.4,4.2157e+07
6.5,4.2157e+07
6.6,4.2157e+07
6.7,4.2157e+07
6.8,4.2157e+07
6.9,4.2157e+07
7,4.2157e+07
7.1,4.2157e+07
7.2,4.2157e+07
7.3,4.2157e+07
7.4,4.2157e+07
7.5,4.2157e+07
7.6,4.2157e+07
7.7,4.2157e+07
7.8,4.2157e+07
7.9,4.2157e+07
8,4.2157e+07
8.1,4.2157e+07
8.2,4.2157e+07
8.3,4.2157e+07
8.4,4.2157e+07
8.5,4.2157e+07
8.6,4.2157e+07
